HOLE,PAR,INDEX,YARDAGE,STROKE_1_DISTANCE,STROKE_1_CLUB,STROKE_1_LIE,STROKE_2_DISTANCE,STROKE_2_CLUB,STROKE_2_LIE,STROKE_3_DISTANCE,STROKE_3_CLUB,STROKE_3_LIE,STROKE_4_DISTANCE,STROKE_4_CLUB,STROKE_4_LIE,STROKE_5_DISTANCE,STROKE_5_CLUB,STROKE_5_LIE,STROKE_6_DISTANCE,STROKE_6_CLUB,STROKE_6_LIE,STROKE_7_DISTANCE,STROKE_7_CLUB,STROKE_7_LIE,STROKE_8_DISTANCE,STROKE_8_CLUB,STROKE_8_LIE,SCORE,PUTTS,FAIRWAY_HIT,CHIP_SHOTS,BUNKER_ATTEMPTS,GIR,PENALTIES
1,3,7,175,170,6_iron,Green,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
2,4,5,360,299,Driver,Fairway,60,L_wedge,Green,,,,,,,,,,,,,,,,,,,4,2,,,,,
3,5,9,548,329,Driver,Left_rough,213,2_iron,Fringe,,,,,,,,,,,,,,,,,,,4,1,,,,,
4,3,11,220,225,4_iron,Right_rough,225,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
5,5,13,590,260,2_iron,Right_rough,160,8_iron,Fairway,165,7_iron,Green,,,,,,,,,,,,,,,,4,2,,,,,
6,4,1,436,314,Driver,Left_rough,74,L_wedge,,,,,,,,,,,,,,,,,,,,4,2,,,,,
7,3,17,145,131,8_iron,Left_fringe,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
8,5,15,535,250,3_wood,Left_rough,187,6_iron,Fairway,90,L_wedge,Green,,,,,,,,,,,,,,,,7,2,,,,,1
9,4,3,450,263,3_wood,Right_rough,79,8_iron,Fairway,72,L_wedge,Green,,,,,,,,,,,,,,,,5,2,,,,,
10,4,6,432,287,Driver,Left_rough,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
11,5,12,575,325,3_wood,Fairway,206,3_wood,,,,,,,,,,,,,,,,,,,,5,2,,,,,
12,3,8,235,238,3_wood,Left_rough,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,
13,5,18,475,293,Driver,Fairway,110,G_wdge,,,,,,,,,,,,,,,,,,,,4,2,,,,,
14,3,16,185,173,6_iron,Right_rough,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
15,4,2,422,,,,,,,,,,,,,,,,,,,,,,,,,5,2,Yes,,,,
16,5,14,590,299,Driver,Fairway,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,
17,3,10,200,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
18,4,4,455,330,Driver,Fairway,90,L_wedge,Green,,,,,,,,,,,,,,,,,,,4,2,,,,,